,Name,Born,Died,Hometown,Biography,Image,Genre,Website,Influences,Rating,Rating_count,Review_count,Works,Typical_series,Member Since,Twitter
0,Victor Hugo,"February 26, 1802","May 22, 1885","in Besançon, Doubs, France","After Napoleon III seized power in 1851, French writer Victor Marie Hugo went into exile and in 1870 returned to France; his novels include 
The Hunchback of Notre Dame
 (1831) and 
Les Misérables
 (1862). 

This poet, playwright, novelist, dramatist, essayist, visual artist, statesman, and perhaps the most influential, important exponent of the Romantic movement in France, campaigned for human rights. People in France regard him as one of greatest poets of that country and know him better abroad.",https://images.gr-assets.com/authors/1415946858p5/13661.jpg,"Literature & Fiction, Poetry, Philosophy",,"William Shakespeare, Chateaubriand, Walter Scott, Lamartine, Dante",4.15,"1,093,968","37,496","6,584","['Les Misérables', 'Los Miserables', 'Notre Dame de Paris', 'البؤساء']",,
1,Shel Silverstein,"September 25, 1930","May 10, 1999","in Chicago, IL, The United States","Shel Silverstein was the author-artist of many beloved books of prose and poetry. He was a cartoonist, playwright, poet, performer, recording artist, and Grammy-winning, Oscar-nominated songwriter.

Shel Silverstein will perhaps always be best loved for his extraordinary books. Shel’s books are now published in more than 47 different languages. The last book that was published before his death in 1999 was Falling Up",https://images.gr-assets.com/authors/1690710827p5/435477.jpg,"Poetry, Children's Books",http://www.shelsilverstein.com/indexSite.html,,4.35,"3,121,533","44,393",141,"['The Missing Piece', 'Runny Babbit']",,
2,Douglas Adams,"March 11, 1952","May 11, 2001","in Cambridge, England, The United Kingdom","Douglas Noël Adams was an English author, comic radio dramatist, and musician. He is best known as the author of the 
Hitchhiker's Guide to the Galaxy
 series. Hitchhiker's began on radio, and developed into a ""trilogy"" of five books (which sold more than fifteen million copies during his lifetime) as well as a television series, a comic book series, a computer game, and a feature film that was completed after Adams' death. The series has also been adapted for live theatre using various scripts; the earliest such productions used material newly written by Adams. He was known to some fans as Bop Ad (after his illegible signature), or by his initials ""DNA"".

In addition to The Hitchhiker's Guide to the Galaxy, Douglas Adams wrote or co-wrote",https://images.gr-assets.com/authors/1616277702p5/4.jpg,"Science Fiction, Mystery, Humor",http://www.douglasadams.com/,"Monty Python, Kurt Vonnegut, P. G. Wodehouse, Charles Dickens, Jane Austen",4.2,"3,311,148","82,136",170,"[""The Hitchhiker's Guide to the Galaxy"", 'Dirk Gently', 'The Meaning of Liff', ""Hitchhiker's Guide BBC Radio Series""]",,
3,J.D. Salinger,"January 01, 1919","January 27, 2010","in Manhattan, New York, The United States","Works, most notably novel 
The Catcher in the Rye
 (1951), of American writer Jerome David Salinger often concern troubled, sensitive adolescents. 

People well know this author for his reclusive nature. He published his last original work in 1965 and gave his last interview in 1980. Reared in city of New York, Salinger began short stories in secondary school and published several stories in the early 1940s before serving in World War II. In 1948, he published the critically acclaimed story ""A Perfect Day for Bananafish"" in The New Yorker, his subsequent home magazine. He released an immediate popular success. His depiction of adolescent alienation and loss of innocence in the protagonist Holden Caulfield especially influenced adolescent re",https://images.gr-assets.com/authors/1288777679p5/819789.jpg,"Literature & Fiction, Short Stories",,"Sherwood Anderson, Anton Chekhov, F. Scott Fitzgerald, Gustave Flaubert",3.83,"3,851,401","100,709",146,['Babe Gladwaller'],,
4,Cassandra Clare,,,"Tehran, Iran","Cassandra Clare was born to American parents in Tehran, Iran and spent much of her childhood travelling the world with her family, including one trek through the Himalayas as a toddler where she spent a month living in her father’s backpack. She lived in France, England and Switzerland before she was ten years old.

Since her family moved around so much she found familiarity in books and went everywhere with a book under her arm. She spent her high school years in Los Angeles where she used to write stories to amuse her classmates, including an epic novel called “The Beautiful Cassandra” based on a Jane Austen short story of the same name (and which later inspired her current pen name).

After college, Cassie lived in Los Angeles and New York w",https://images.gr-assets.com/authors/1689347318p5/150038.jpg,Science Fiction & Fantasy,http://www.cassandraclare.com/,,4.22,"8,855,082","517,724",187,"['The Mortal Instruments', 'The Infernal Devices', 'The Dark Artifices', 'The Bane Chronicles', 'Tales from the Shadowhunter Academy']",December 2008,
5,Ray Bradbury,"August 22, 1920","June 05, 2012","in Waukegan, Illinois, The United States","Ray Douglas Bradbury, American novelist, short story writer, essayist, playwright, screenwriter and poet, was born August 22, 1920 in Waukegan, Illinois. He graduated from a Los Angeles high school in 1938. Although his formal education ended there, he became a ""student of life,"" selling newspapers on L.A. street corners from 1938 to 1942, spending his nights in the public library and his days at the typewriter. He became a full-time writer in 1943, and contributed numerous short stories to periodicals before publishing a collection of them, Dark Carnival, in 1947. 

His reputation as a writer of courage and vision was established with the publication of The Martian Chronicles in 1950, which describes the first attempts of Earth people to con",https://images.gr-assets.com/authors/1445955959p5/1630.jpg,"Literature & Fiction, Science Fiction & Fantasy, Horror",http://www.raybradbury.com/,"Edgar Rice Burroughs, John Steinbeck, Jules Verne, Stanley G. Weinbaum",3.99,"3,176,439","131,297","2,245","['Green Town', 'Crumley Mysteries', 'Bradbury Stories: 100 of His Most Celebrated Tales', 'The Ray Bradbury Chronicles', '200 оповідань Рея Бредбері']",,
6,Stephen Chbosky,"January 25, 1970",,"in Pittsburgh, The United States","Stephen Chbosky grew up in Pittsburgh, Pennsylvania, and graduated from the University of Southern California's Filmic Writing Program. His first film, The Four Corners of Nowhere, premiered at the 1995 Sundance Film Festival and went on to win Best Narrative Feature honors at the Chicago Underground Film Festival. 

He is the recipient of the Abraham Polonsky Screenwriting Award for his screenplay Everything Divided as well as a participant in the Sundance Institute's filmmakers' lab for his current project, Fingernails and Smooth Skin. Chbosky lives in New York. 

For more information, please see http://en.wikipedia.org/wiki/Stephen_...",https://images.gr-assets.com/authors/1599132962p5/12898.jpg,"Fiction, Young Adult, Horror",,,4.21,"1,775,584","96,839",16,"['Imaginary Friend', 'Imaginary Friend']",,
7,E.B. White,"July 11, 1899","October 01, 1985","in Mount Vernon, NY, The United States","Elwyn Brooks White was a leading American essayist, author, humorist, poet and literary stylist and author of such beloved children's classics as Charlotte's Web, Stuart Little, and The Trumpet of the Swan. He graduated from Cornell University in 1921 and, five or six years later, joined the staff of The New Yorker magazine. He authored over seventeen books of prose and poetry and was elected to the American Academy of Arts and Letters in 1973. 

White always said that he found writing difficult and bad for one's disposition. 

Mr. White has won countless awards, including the 1971 National Medal for Literature and the Laura Ingalls Wilder Medal, which commended him for making “a substantial and lasting contribution to literature for children.”",https://images.gr-assets.com/authors/1198519412p5/988142.jpg,"Children's Books, Literature & Fiction, Nonfiction",,,4.18,"2,088,872","36,343",108,[],,
8,Kathryn Stockett,,,"Jackson, Mississippi, The United States","Kathryn Stockett was born and raised in Jackson, Mississippi. After graduating from the University of Alabama with a degree in English and creative writing, she moved to New York City, where she worked in magazine publishing for nine years. She currently lives in Atlanta with her husband and daughter. She is working on her second novel.",https://images.gr-assets.com/authors/1233458107p5/1943477.jpg,Historical Fiction,http://www.kathrynstockett.com,,4.47,"2,666,191","89,477",9,[],September 2008,
9,F. Scott Fitzgerald,"September 24, 1896","December 21, 1940","in St. Paul, Minnesota, The United States","Francis Scott Key Fitzgerald was an American writer of novels and short stories, whose works have been seen as evocative of the Jazz Age, a term he himself allegedly coined. He is regarded as one of the greatest twentieth century writers. Fitzgerald was of the self-styled ""Lost Generation,"" Americans born in the 1890s who came of age during World War I. He finished four novels, left a fifth unfinished, and wrote dozens of short stories that treat themes of youth, despair, and age. He was married to Zelda Fitzgerald.",https://images.gr-assets.com/authors/1517864008p5/3190.jpg,"Fiction, Short Stories",,"John Keats, Sherwood Anderson, Edith Wharton, Theodore Dreiser",3.91,"5,464,678","130,942","2,228",['Специално издание Biograph'],,
